"year","pinks","pinks_1","pinks_2","pinks_3","pinks_4","NPGO","NPGO_1","NPGO_2","NPGO_3","NPGO_4","SST","SST_1","SST_2","SST_3","SST_4","SST_cst","SST_cst_1","SST_cst_2","SST_cst_3","SST_cst_4","av_CFS_min","av_CFS_max","av_CFS_min_1","av_CFS_max_1"
1979,319.9,244.49,297.88,223.2,431.01,-0.7372,-0.7491,-0.2218,-0.6867,-0.0921,NA,NA,NA,NA,NA,14.24,13.85,13.71,13.67,15.04,0.8388,1.3433,1.0896,1.0864
1980,244.49,297.88,223.2,431.01,308.77,-0.7491,-0.2218,-0.6867,-0.0921,0.6208,11.2028,10.9272,10.8899,9.9222,11.1219,13.85,13.71,13.67,15.04,13.48,1.0896,1.0864,0.045,-0.4202
1981,297.88,223.2,431.01,308.77,326.29,-0.2218,-0.6867,-0.0921,0.6208,-0.3939,10.9272,10.8899,9.9222,11.1219,10.6038,13.71,13.67,15.04,13.48,13.77,0.045,-0.4202,0.6439,0.3219
1982,223.2,431.01,308.77,326.29,261.76,-0.6867,-0.0921,0.6208,-0.3939,-0.7328,10.8899,9.9222,11.1219,10.6038,10.8799,13.67,15.04,13.48,13.77,13.87,0.6439,0.3219,-3e-04,0.7907
1983,431.01,308.77,326.29,261.76,270.33,-0.0921,0.6208,-0.3939,-0.7328,0.4292,9.9222,11.1219,10.6038,10.8799,9.906,15.04,13.48,13.77,13.87,13.65,-3e-04,0.7907,0.5371,-1.1489
1984,308.77,326.29,261.76,270.33,212.16,0.6208,-0.3939,-0.7328,0.4292,1.3236,11.1219,10.6038,10.8799,9.906,10.3615,13.48,13.77,13.87,13.65,13.72,0.5371,-1.1489,-0.4116,0.5153
1985,326.29,261.76,270.33,212.16,364.39,-0.3939,-0.7328,0.4292,1.3236,0.6122,10.6038,10.8799,9.906,10.3615,11.4213,13.77,13.87,13.65,13.72,14.73,-0.4116,0.5153,-0.6338,0.5558
1986,261.76,270.33,212.16,364.39,303.04,-0.7328,0.4292,1.3236,0.6122,-0.2015,10.8799,9.906,10.3615,11.4213,11.5716,13.87,13.65,13.72,14.73,14.98,-0.6338,0.5558,-1.6674,-1.3291
1987,270.33,212.16,364.39,303.04,486.02,0.4292,1.3236,0.6122,-0.2015,-0.4989,9.906,10.3615,11.4213,11.5716,11.2829,13.65,13.72,14.73,14.98,13.77,-1.6674,-1.3291,-0.1282,-0.8349
1988,212.16,364.39,303.04,486.02,277.23,1.3236,0.6122,-0.2015,-0.4989,-1.0949,10.3615,11.4213,11.5716,11.2829,10.8825,13.72,14.73,14.98,13.77,14.87,-0.1282,-0.8349,-0.5026,0.2275
1989,364.39,303.04,486.02,277.23,398.59,0.6122,-0.2015,-0.4989,-1.0949,-1.902,11.4213,11.5716,11.2829,10.8825,10.761,14.73,14.98,13.77,14.87,15.02,-0.5026,0.2275,0.3597,1.1897
1990,303.04,486.02,277.23,398.59,453.75,-0.2015,-0.4989,-1.0949,-1.902,-1.2116,11.5716,11.2829,10.8825,10.761,11.6668,14.98,13.77,14.87,15.02,14.85,0.3597,1.1897,0.7418,0.0699
1991,486.02,277.23,398.59,453.75,434.87,-0.4989,-1.0949,-1.902,-1.2116,-1.0392,11.2829,10.8825,10.761,11.6668,11.0719,13.77,14.87,15.02,14.85,15.23,0.7418,0.0699,-0.991,-1.0166
1992,277.23,398.59,453.75,434.87,424.25,-1.0949,-1.902,-1.2116,-1.0392,-0.9728,10.8825,10.761,11.6668,11.0719,11.8892,14.87,15.02,14.85,15.23,13.9,-0.991,-1.0166,-0.2696,-0.5351
1993,398.59,453.75,434.87,424.25,401.97,-1.902,-1.2116,-1.0392,-0.9728,-0.6577,10.761,11.6668,11.0719,11.8892,11.0648,15.02,14.85,15.23,13.9,15.38,-0.2696,-0.5351,-0.7375,0.4175
1994,453.75,434.87,424.25,401.97,443.57,-1.2116,-1.0392,-0.9728,-0.6577,0.5446,11.6668,11.0719,11.8892,11.0648,11.605,14.85,15.23,13.9,15.38,14.7,-0.7375,0.4175,-0.1448,1.0375
1995,434.87,424.25,401.97,443.57,501.07,-1.0392,-0.9728,-0.6577,0.5446,1.5158,11.0719,11.8892,11.0648,11.605,10.8369,15.23,13.9,15.38,14.7,13.7,-0.1448,1.0375,0.1593,1.4116
1996,424.25,401.97,443.57,501.07,381.82,-0.9728,-0.6577,0.5446,1.5158,1.8859,11.8892,11.0648,11.605,10.8369,11.4018,13.9,15.38,14.7,13.7,14.48,0.1593,1.4116,1.9394,-0.9152
1997,401.97,443.57,501.07,381.82,401.82,-0.6577,0.5446,1.5158,1.8859,2.0807,11.0648,11.605,10.8369,11.4018,11.7894,15.38,14.7,13.7,14.48,13.82,1.9394,-0.9152,-0.4015,0.5975
1998,443.57,501.07,381.82,401.82,382.89,0.5446,1.5158,1.8859,2.0807,1.4736,11.605,10.8369,11.4018,11.7894,10.869,14.7,13.7,14.48,13.82,13.9,-0.4015,0.5975,0.5417,0.5939
1999,501.07,381.82,401.82,382.89,466.33,1.5158,1.8859,2.0807,1.4736,0.9585,10.8369,11.4018,11.7894,10.869,11.4848,13.7,14.48,13.82,13.9,14.9,0.5417,0.5939,1.0344,-2.269
2000,381.82,401.82,382.89,466.33,361.27,1.8859,2.0807,1.4736,0.9585,0.2095,11.4018,11.7894,10.869,11.4848,11.5248,14.48,13.82,13.9,14.9,15.4,1.0344,-2.269,1.4191,0.8023
2001,401.82,382.89,466.33,361.27,594.47,2.0807,1.4736,0.9585,0.2095,-1.4691,11.7894,10.869,11.4848,11.5248,11.1145,13.82,13.9,14.9,15.4,14.9,1.4191,0.8023,-0.9902,0.4115
2002,382.89,466.33,361.27,594.47,344.03,1.4736,0.9585,0.2095,-1.4691,-0.55,10.869,11.4848,11.5248,11.1145,12.0758,13.9,14.9,15.4,14.9,14.23,-0.9902,0.4115,-0.7708,0.6854
2003,466.33,361.27,594.47,344.03,548.77,0.9585,0.2095,-1.4691,-0.55,0.5795,11.4848,11.5248,11.1145,12.0758,11.4494,14.9,15.4,14.9,14.23,14.59,-0.7708,0.6854,0.6464,0.1418
2004,361.27,594.47,344.03,548.77,328.17,0.2095,-1.4691,-0.55,0.5795,1.4929,11.5248,11.1145,12.0758,11.4494,12.6177,15.4,14.9,14.23,14.59,12.85,0.6464,0.1418,-0.7706,-0.3327
2005,594.47,344.03,548.77,328.17,657.16,-1.4691,-0.55,0.5795,1.4929,0.6406,11.1145,12.0758,11.4494,12.6177,11.7587,14.9,14.23,14.59,12.85,13.74,-0.7706,-0.3327,-0.6672,1.041
2006,344.03,548.77,328.17,657.16,407.21,-0.55,0.5795,1.4929,0.6406,1.2896,12.0758,11.4494,12.6177,11.7587,11.0357,14.23,14.59,12.85,13.74,13.63,-0.6672,1.041,0.2904,1.3181
2007,548.77,328.17,657.16,407.21,653.76,0.5795,1.4929,0.6406,1.2896,0.7896,11.4494,12.6177,11.7587,11.0357,12.1886,14.59,12.85,13.74,13.63,14.46,0.2904,1.3181,1.2835,1.3032
2008,328.17,657.16,407.21,653.76,435.57,1.4929,0.6406,1.2896,0.7896,1.4227,12.6177,11.7587,11.0357,12.1886,12.0846,12.85,13.74,13.63,14.46,14.15,1.2835,1.3032,-0.4549,-0.0731
2009,657.16,407.21,653.76,435.57,577.82,0.6406,1.2896,0.7896,1.4227,0.3632,11.7587,11.0357,12.1886,12.0846,12.2888,13.74,13.63,14.46,14.15,14.83,-0.4549,-0.0731,0.554,0.4179
2010,407.21,653.76,435.57,577.82,355.85,1.2896,0.7896,1.4227,0.3632,-0.1964,11.0357,12.1886,12.0846,12.2888,11.9932,13.63,14.46,14.15,14.83,14.67,0.554,0.4179,0.79,-1.1787
2011,653.76,435.57,577.82,355.85,549.42,0.7896,1.4227,0.3632,-0.1964,-1.3808,12.1886,12.0846,12.2888,11.9932,11.0268,14.46,14.15,14.83,14.67,15.52,0.79,-1.1787,-0.4762,-1.1031
2012,435.57,577.82,355.85,549.42,432,1.4227,0.3632,-0.1964,-1.3808,-0.1604,12.0846,12.2888,11.9932,11.0268,11.8275,14.15,14.83,14.67,15.52,14.9,-0.4762,-1.1031,0.9893,-0.8101
2013,577.82,355.85,549.42,432,513,0.3632,-0.1964,-1.3808,-0.1604,-0.8592,12.2888,11.9932,11.0268,11.8275,11.5929,14.83,14.67,15.52,14.9,14.59,0.9893,-0.8101,-0.5757,-0.3044
2014,355.85,549.42,432,513,701,-0.1964,-1.3808,-0.1604,-0.8592,-1.9643,11.9932,11.0268,11.8275,11.5929,11.7362,14.67,15.52,14.9,14.59,15.1,-0.5757,-0.3044,-0.9889,0.3947
2015,549.42,432,513,701,639,-1.3808,-0.1604,-0.8592,-1.9643,-2.2791,11.0268,11.8275,11.5929,11.7362,11.6391,15.52,14.9,14.59,15.1,15.23,-0.9889,0.3947,-0.6653,-0.7725
2016,432,513,701,639,315,-0.1604,-0.8592,-1.9643,-2.2791,-1.8429,11.8275,11.5929,11.7362,11.6391,11.9944,14.9,14.59,15.1,15.23,14.72,-0.6653,-0.7725,-0.7926,0.1145
2017,513,701,639,315,730,-0.8592,-1.9643,-2.2791,-1.8429,-0.9126,11.5929,11.7362,11.6391,11.9944,12.1877,14.59,15.1,15.23,14.72,14.86,-0.7926,0.1145,-1.1903,-0.4469
2018,701,639,315,730,NA,-1.9643,-2.2791,-1.8429,-0.9126,-1.3055,11.7362,11.6391,11.9944,12.1877,13.2287,15.1,15.23,14.72,14.86,NA,-1.1903,-0.4469,-0.4258,0.2578
2019,639,315,730,NA,NA,-2.2791,-1.8429,-0.9126,-1.3055,NA,11.6391,11.9944,12.1877,13.2287,NA,15.23,14.72,14.86,NA,NA,-0.4258,0.2578,0.1069,-0.5273
2020,315,730,NA,NA,NA,-1.8429,-0.9126,-1.3055,NA,NA,11.9944,12.1877,13.2287,NA,NA,14.72,14.86,NA,NA,NA,0.1069,-0.5273,-1.0854,1.1304
2021,730,NA,NA,NA,NA,-0.9126,-1.3055,NA,NA,NA,12.1877,13.2287,NA,NA,NA,14.86,NA,NA,NA,NA,-1.0854,1.1304,-1.3298,-0.8206
2022,NA,NA,NA,NA,NA,-1.3055,NA,NA,NA,NA,13.2287,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3298,-0.8206,NA,NA
